,Striking,Grappling,Wrestling,origin_elo
Jon Jones,1739.610642604896,1722.1515436517393,1827.3917572910373,3054.7359561476856
Dustin Poirier,1700.964271065607,1661.992468990149,1764.5737359812006,2961.286694688033
Georges St-Pierre,1673.1028570697497,1704.0889160405068,1740.1204315080095,2954.862318325287
Jim Miller,1573.9562832348026,1745.6813753375475,1771.5055108928634,2943.292989299314
Donald Cerrone,1662.6945113296722,1625.05825056976,1762.543615915148,2917.520754639787
Amanda Nunes,1669.5462743503228,1619.495722378681,1751.2167473499453,2911.513567407648
Michael Bisping,1667.230782353036,1620.0640927061736,1738.552809473294,2902.90062134908
Matt Hughes,1613.0886282496524,1673.3940849733672,1728.863999825162,2896.769479282681
Demian Maia,1647.757216957585,1632.9088346103554,1733.1954609609147,2895.766153210558
Max Holloway,1668.2082336517806,1622.9492017560196,1711.7436394906467,2889.108705057804
Neil Magny,1645.8121067124455,1673.7948346764565,1678.939057957941,2886.0220026062766
Anderson Silva,1719.0325443156016,1606.423086326575,1656.264387573309,2877.3042491614883
Demetrious Johnson,1650.634224709395,1650.167836018744,1680.4308639332207,2876.0207091173943
Kamaru Usman,1631.9051583690343,1621.027762507659,1724.0406257900029,2874.5715388743474
Khabib Nurmagomedov,1622.5858951087143,1617.5810406989722,1705.0391682814857,2855.960779774214
Jon Fitch,1618.457144598681,1642.9012452806517,1675.6805873580734,2850.6899974385024
Darren Elkins,1615.9402966016362,1605.7274097351121,1713.2486653525746,2850.4112941622993
Islam Makhachev,1631.622273311813,1634.5574922571623,1658.0245306483584,2843.0643296437984
Derrick Lewis,1642.709409929417,1618.3695943836615,1651.504239758414,2836.3851296035605
Francisco Trinaldo,1630.34499729226,1613.1976416890388,1667.9839712188957,2835.948160596405
Chuck Liddell,1627.8152011027028,1583.6426921150994,1692.550944733951,2832.3903695907425
Robert Whittaker,1624.203195824079,1609.37182255682,1666.4698806886,2829.352496209564
Alexandre Pantoja,1628.2263736059224,1603.8951850285926,1667.3718736903163,2829.086399076096
Charles Oliveira,1642.0741837273774,1629.9700789179083,1626.0670031074453,2827.9504913676287
Joseph Benavidez,1615.899741103259,1604.31953585525,1672.4003790329346,2825.2249776281333
Beneil Dariush,1603.2230740676655,1609.1909347956453,1677.7004637797986,2823.9154619107153
Magomed Ankalaev,1624.4964367344244,1584.838268207157,1675.5377363836835,2821.0153695757244
Aljamain Sterling,1628.8556741455793,1616.4920876843019,1635.7218887585352,2818.120574799097
Vicente Luque,1637.6987298985723,1572.6949278193526,1667.0523623367847,2816.822686054763
Valentina Shevchenko,1609.5211151165663,1630.0643809999294,1634.1312027709225,2813.903497648827
Alexander Volkanovski,1610.0350462289084,1590.346388515729,1665.2735120428722,2809.7242490077115
Ryan Bader,1594.1461605319807,1598.2758342939483,1670.163578227284,2808.065882714264
Dong Hyun Kim,1596.1044448727953,1599.6069913504598,1660.6946524350435,2804.3178590071266
Grant Dawson,1599.206567844754,1593.2013998516786,1660.3092530662793,2802.209692893209
Merab Dvalishvili,1596.0528521226759,1602.302362164931,1653.7810826184545,2801.740429767703
Belal Muhammad,1597.5266205147157,1596.906089486977,1653.884473642186,2799.5596464530718
Andrei Arlovski,1567.6211299382785,1546.3482816056953,1725.6894507515199,2797.612034483862
Diego Sanchez,1571.100386501013,1579.2463242923707,1691.3716912585724,2796.982941536376
Frankie Edgar,1569.2566044860885,1571.6255995251918,1695.5776063080048,2794.200553793394
Rich Franklin,1603.893913490232,1586.6207593860718,1646.051421790557,2792.727412946806
Cain Velasquez,1592.0047807754988,1583.2041353879222,1652.2802571318914,2787.659341531761
Lyoto Machida,1588.578308299871,1577.5081314794063,1655.51057200812,2784.3900948888577
Arnold Allen,1600.9188071015676,1591.6688804948026,1628.895502001822,2783.819571830914
Brad Tavares,1628.35620237034,1584.5290822829656,1606.811671006511,2782.8259163090293
Glover Teixeira,1579.0763402049975,1593.3052092369744,1636.9240485335383,2776.9810799939414
Francis Ngannou,1616.7575212430504,1562.0343732517406,1629.5926671268078,2776.585767893618
Junior Dos Santos,1578.546718406624,1572.8558319595115,1655.7991868621825,2776.212556259847
Leon Edwards,1602.121790015408,1586.8920963659752,1617.5832924517315,2775.1750329609768
John Lineker,1581.5824700176586,1566.3071529371339,1656.5182768035475,2774.666467918871
Curtis Blaydes,1569.9615409941864,1587.6307321623128,1647.2026303933371,2774.6399924101524
Randy Couture,1596.1404749595117,1639.708999065915,1562.7193934617376,2770.9929484073286
Edson Barboza,1586.0186417025452,1576.5868026790974,1634.4000551090667,2769.899748790632
Tony Ferguson,1601.3365306911264,1590.8263655779294,1604.7016097390147,2769.489928893543
Brendan Allen,1579.2512258708525,1599.1862877375102,1612.181870912723,2765.9648591769774
Frank Mir,1594.2908354747515,1561.5991273257187,1632.82174214028,2765.223669822976
Don Frye,1619.773244719696,1606.480709211518,1562.1354879094506,2764.9073973579316
Sean Strickland,1574.8486057557448,1587.0059700186796,1626.5397247632711,2764.844942516437
Zak Cummings,1589.4672307968633,1574.1301589014497,1622.0692074475342,2763.2228192256994
Yushin Okami,1571.251034528449,1587.5096438770054,1625.6090497792347,2762.5389527811844
Gillian Robertson,1558.4684401920126,1590.0481473425812,1633.6469289884205,2761.499461983543
Song Yadong,1593.8356079422801,1574.6984164873843,1612.5924249455225,2760.514694223578
Stipe Miocic,1569.9202443824697,1576.1727994627001,1633.2196910059188,2759.778401715882
Movsar Evloev,1583.210549004315,1584.456037604147,1611.544668865762,2759.3718120848516
Marlon Vera,1614.7736152824482,1570.1015863579728,1588.2141463468427,2755.9276105791314
Rani Yahya,1576.0011472379417,1566.7450601579087,1629.6253313050993,2755.748250485841
Deiveson Figueiredo,1594.5702714934043,1567.7365097475565,1609.5952104306987,2755.222106503838
Israel Adesanya,1621.5023464170056,1561.230045096245,1588.4145518738824,2754.9537022882587
Rashad Evans,1565.0391750560009,1592.923905390794,1613.1933567600352,2754.8406476818463
Mario Bautista,1590.1040581464881,1567.9646073282352,1611.437291125162,2753.847139693254
Jake Matthews,1593.2990184363582,1567.8361111840695,1607.6228698499397,2753.3912045598613
Josh Koscheck,1555.2221521245751,1588.5485582447989,1622.7870795486663,2752.3881212341244
TJ Dillashaw,1566.044474916279,1561.4574279790684,1638.318748867054,2752.2232685042327
Ian Machado Garry,1602.9094555741442,1568.0696409570696,1594.8715796647232,2751.686115326834
Ilia Topuria,1584.1063301189972,1570.8471034776248,1610.2604112249842,2751.343686198723
Randy Brown,1585.076269603435,1585.2214965900787,1591.8650345030064,2749.4414454184125
Kenny Florian,1552.4791060403961,1598.4309117810396,1608.4454358783555,2748.1392749689862
Dricus Du Plessis,1576.086125718085,1579.5558264613026,1603.2124149795977,2747.6051630708525
Benson Henderson,1571.7811684165342,1600.2065609089043,1584.795211786904,2746.4036378994706
Lerone Murphy,1596.6118623182135,1577.8367675442348,1579.6143086709956,2744.7986571090823
Joshua Van,1596.0614126041617,1566.5371750090524,1589.5322827794112,2743.731698159873
Derek Brunson,1565.229965989734,1539.202622644367,1645.7231984251828,2743.6279641785136
Royce Gracie,1589.4205072214563,1598.3905714453117,1561.4888273005802,2742.1446580087495
Nik Lentz,1576.6687805217946,1566.3204050695156,1605.2966392532246,2741.5727885297724
Jack Della Maddalena,1599.167222541599,1561.1376364694254,1585.7913739727708,2740.2957518157054
Muhammad Mokaev,1571.7478879916825,1567.74337001631,1606.4371762041294,2740.228293176886
Yair Rodriguez,1583.3477256405124,1589.6350098864364,1571.686503744991,2739.366341145665
Zhang Weili,1577.7539791740944,1561.571801516362,1602.5906684652932,2737.9026572803464
Raquel Pennington,1591.0250758445575,1582.4803196892547,1567.8171324465247,2737.4541667328112
Maycee Barber,1595.2545901026817,1566.4351108341812,1577.4968821390116,2736.2479012063345
Elizeu Zaleski dos Santos,1576.1583143204177,1569.4474363612514,1591.517438891366,2735.026150806902
Sean O'Malley,1601.2887404470496,1549.7149781453993,1585.5955015161455,2734.9324010291243
Caio Borralho,1576.2632056762736,1563.726247620525,1596.39010955341,2734.6493107793835
Anthony Johnson,1582.9706593882963,1534.0845933713786,1618.3070553377522,2734.616860450398
Chris Gutierrez,1590.550969551475,1559.475184007383,1586.1791334214863,2734.5528847652104
Khamzat Chimaev,1570.714635313999,1563.9818732266315,1599.203612279664,2733.246413863814
Paddy Pimblett,1589.0136959177285,1572.6105620465728,1572.2913587502214,2733.1609214378823
Montel Jackson,1573.1429245205043,1540.7599314984109,1617.6872481031896,2732.3308474918595
Natalia Silva,1592.674120038258,1562.675133167584,1576.4332332493557,2731.9784339106673
Carlos Ulberg,1574.464455511661,1554.674979958826,1601.0907767704018,2731.1983249919545
Ciryl Gane,1573.029316114304,1552.359701011681,1603.6758215551754,2730.571004629028
Alexander Volkov,1596.8358171278749,1554.2254550643336,1576.6795515690917,2729.728887704509
Evan Tanner,1592.8697501846686,1565.4428238123157,1567.5391013076721,2728.5571479826676
Pat Miletich,1570.5415597080832,1579.0536181650605,1576.100267422643,2728.3883837863323
Gilbert Burns,1540.8241295449081,1572.7613739856495,1611.2502636199943,2728.341025184453
Matt Lindland,1557.4358973081526,1570.8641824413364,1594.1980608214433,2726.662485719123
Raphael Assuncao,1556.819729801033,1556.349657095458,1608.5699449808976,2726.4279183823583
Jailton Almeida,1566.7546011209272,1569.9012495831898,1584.0610643920827,2725.5383632044945
Colby Covington,1542.4571931939845,1567.4969182659215,1605.306240420272,2722.7245375067405
Daniel Cormier,1559.7006572118723,1561.594739681887,1594.0388663819385,2722.536350289102
Rafael Dos Anjos,1523.6994755994754,1554.0525311979213,1635.637976525862,2722.508209706336
Nathaniel Wood,1566.8240763322913,1558.0029645894272,1589.9019068032278,2722.1497014493016
Michael Chiesa,1538.5483958320283,1567.2154674733288,1607.5723606980769,2721.6877819994966
Jessica Andrade,1533.041772854906,1557.6113553993373,1621.3209546702644,2721.2224917929757
Mike Swick,1576.3163462185576,1559.6490746529073,1576.6289495309943,2720.8523120376635
Kyoji Horiguchi,1563.6306276869302,1558.5407570378056,1589.0902224879435,2720.146644281404
Tom Aspinall,1566.956531050262,1552.4590481010891,1591.354840887369,2719.9066336636765
Phil Davis,1552.9603700717416,1563.1713617266157,1594.5521735021844,2719.8873600125694
Drakkar Klose,1575.8109215036104,1549.9196796130354,1584.1855932728638,2719.388730489837
Nasrat Haqparast,1564.8687248030258,1532.5050855433433,1611.2420919558317,2719.096732735535
Joanna Jedrzejczyk,1581.7649869623556,1560.6149210593137,1566.0032906835927,2718.430744426797
Gregor Gillespie,1558.0170954556393,1552.5325429878603,1596.805286960331,2718.0069336248653
Gleison Tibau,1551.5548568658714,1559.3566116157565,1595.2477970805264,2717.302163938365
Rustam Khabilov,1549.3623976539554,1553.2834597987037,1603.213497999832,2717.2609123742795
Cheick Kongo,1569.263623106409,1569.3719300262974,1567.5651521800808,2717.126621983024
Zabit Magomedsharipov,1560.628326988949,1557.879424261772,1587.261509650199,2716.9740844468033
Sean Brady,1551.643284766026,1574.7753254773052,1579.2717859582565,2716.912509230917
Bryan Battle,1563.9761480403045,1548.0823288970782,1593.4304132684495,2716.9101513688765
Waldo Cortes-Acosta,1577.100550491713,1552.9155535758284,1573.389814180733,2715.575145391242
Roman Dolidze,1573.8696630496308,1555.5854130823293,1573.3833367352306,2715.225003195604
Martin Kampmann,1552.0153175129535,1569.6169553089023,1581.1117199129303,2715.2096057273457
Alex Morono,1578.4391459726255,1532.354801791678,1591.1814660627624,2715.0395639943163
Alex Pereira,1583.5759623752037,1549.711191969592,1568.372160801853,2714.6102559864166
Arman Tsarukyan,1558.8550830646411,1554.8284305415623,1587.4895001772904,2714.340349254299
Tatiana Suarez,1554.2997593526102,1564.0840410016979,1579.809323364122,2712.564124113564
Jasmine Jasudavicius,1553.2500431256765,1566.457274318317,1578.154933564788,2712.369274835115
Nate Diaz,1565.2438189420757,1555.2583720881191,1576.8915709881283,2712.084778051742
Manon Fiorot,1552.5554485408834,1562.615207914045,1578.1082125395035,2709.726967663507
Shavkat Rakhmonov,1566.210634273504,1554.8018397870064,1572.1249949597666,2709.612797374141
Michel Prazeres,1551.7544334469446,1557.4523134830417,1583.3083466550293,2709.329225303453
Andre Petroski,1555.549398305326,1547.858090805413,1587.9655221470875,2708.7327478671114
Norma Dumont,1553.4354579965113,1580.8610673635399,1556.8319630838646,2708.506820694048
Raoni Barcelos,1547.784472428401,1555.3497001766925,1586.8874691538383,2707.944109963805
Krzysztof Jotko,1553.689013929965,1565.7285026680483,1570.5705464514983,2707.793776758997
Mackenzie Dern,1568.8730408785364,1540.9821379264324,1579.912860659259,2707.7875129116587
Thales Leites,1554.38592142912,1557.4010135616684,1577.8605763228463,2707.6294997827586
Corey Anderson,1537.903733915959,1567.522224233615,1583.4862931766584,2707.3423608655967
Erin Blanchfield,1552.239433713985,1555.2715899058999,1579.461436255477,2706.1070574837486
Matt Hamill,1541.4995823794252,1565.0838001419395,1579.9779558507846,2705.9265704961585
Yan Xiaonan,1579.7707187548735,1549.5827018722277,1556.8339709332672,2705.6633358252034
Fabricio Werdum,1563.037736719623,1552.2415252039925,1570.9761636596636,2705.643514168866
Johny Hendricks,1577.1871597474649,1539.7978848439936,1568.866105195566,2705.5198611493906
Iuri Alcantara,1564.4886573162585,1540.7051901694704,1579.7939574502655,2705.0224009946282
Anthony Hernandez,1557.7942713698417,1547.837658620231,1578.4154426754865,2704.4259499997606
JunYong Park,1543.6664689891863,1551.2607449645138,1588.5535273844037,2704.2223236477494
Petr Yan,1563.2771552290144,1552.7637724800918,1567.137490301075,2703.8547872795752
Loma Lookboonmee,1576.478422133487,1552.1731012524438,1553.7266394588555,2703.440774618195
Katlyn Cerminara,1568.0037104876246,1547.246456684949,1566.9817349359512,2703.338489987884
