,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
0,Jhonata Diniz,Alvin Hines,Jhonata Diniz,0.61,0.0,0.0,0.31,0.1,1.0
1,Hyder Amil,Jose Delgado,Jose Delgado,0.6,0.0,0.0,0.81,0.0,1.0
2,Brandon Royval,Joshua Van,Joshua Van,0.46,0.0,0.0,0.66,0.0,1.0
3,Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,0.5,1.0,1.0,1.0,0.0,0.0
4,Viviane Araujo,Tracy Cortez,Tracy Cortez,0.43,0.0,0.17166666666666666,0.63,0.6,0.8283333333333334
5,Jack Hermansson,Gregory Rodrigues,Gregory Rodrigues,0.54,0.0,0.0,0.28,0.0,1.0
6,Beneil Dariush,Renato Moicano,Beneil Dariush,0.52,1.0,0.815242494226328,0.5,0.0,0.18475750577367206
7,Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,0.55,0.5,0.9777777777777777,0.56,0.0,0.022222222222222223
8,Payton Talbott,Felipe Lima,Payton Talbott,0.5,0.0,0.5873983739837398,0.44,0.2,0.41260162601626016
9,Ilia Topuria,Charles Oliveira,Ilia Topuria,0.72,0.0,0.7439024390243902,0.56,0.0,0.25609756097560976
10,Niko Price,Jacobe Smith,Jacobe Smith,0.55,0.0,0.0,0.62,1.0,1.0
11,Jamahal Hill,Khalil Rountree Jr.,Khalil Rountree Jr.,0.4,0.0,0.0,0.56,0.0,0.0
12,Tofiq Musayev,Myktybek Orolbai,Myktybek Orolbai,0.33,0.0,0.05172413793103448,0.28,0.6,0.9482758620689655
13,Muhammad Naimov,Bogdan Grad,Muhammad Naimov,0.33,0.3333333333333333,0.35892116182572614,0.48,0.3,0.6410788381742739
14,Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,0.54,1.0,0.5852272727272727,0.34,0.0,0.4147727272727273
15,Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,0.62,0.0,0.8476190476190476,0.42,0.0,0.1523809523809524
16,Seokhyeon Ko,Oban Elliott,Seokhyeon Ko,0.54,0.6666666666666666,0.8553546592489569,0.32,0.0,0.14464534075104313
17,Ismail Naurdiev,JunYong Park,JunYong Park,0.49,0.5,0.1756198347107438,0.41,0.25,0.8243801652892562
18,Daria Zhelezniakova,Melissa Mullins,Daria Zhelezniakova,0.44,0.0,0.0,0.43,0.5,1.0
19,Irina Alekseeva,Klaudia Sygula,Klaudia Sygula,0.35,0.0,0.4327731092436975,0.55,0.5,0.5672268907563025
20,Hamdy Abdelwahab,Mohammed Usman,Mohammed Usman,0.44,0.0,1.0,0.48,0.0,0.0
21,Tagir Ulanbekov,Azat Maksum,Tagir Ulanbekov,0.57,0.0,0.7985611510791367,0.38,0.42857142857142855,0.2014388489208633
22,Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,0.58,0.13333333333333333,0.9250720461095101,0.41,0.0,0.07492795389048991
23,Edmen Shahbazyan,Andre Petroski,Edmen Shahbazyan,0.38,0.0,0.39473684210526316,0.4,0.3333333333333333,0.6052631578947368
24,Ricky Simon,Cameron Smotherman,Ricky Simon,0.45,0.3,0.9963963963963964,0.29,0.0,0.0036036036036036037
25,Michael Chiesa,Court McGee,Michael Chiesa,0.45,0.0,0.6715328467153284,0.26,0.0,0.3284671532846715
